a3180525 a69d2a24 fbb90111 598c5435
928991fe fbb82863 ef6ad443 942ccfd7
80094f8d 90ab8b08 3581dc41 258c9cad
3f3d3ba0 d16fa663 b1e82ff6 e5f7e6e7
db737ce9 b66afe40 3ae79d07 43dbdacf
797bc5d6 36c0a60b 7347e6d9 e7348b7c
ef7f9e2c 44d078ce baf180df 5e00db64
662872a9 3c744abc 02239ce8 b3008c2c
e25fdf2b 0f9c18f5 fda78630 ab29fe7c
41fedd3b 79ed4365 e62774f1 409a69bb
6a6caae4 7c20740b fbc69d50 ea4b50c2
c49064bd 4e38599b 33d389b1 067c57db
3da6a9ea 3c679a2f 643ace75 ded825d8
86fe39a9 ea590857 2bab4ceb 8bbf41a1
9bd89502 6a488114 13ee0620 fcb7180a
ea06ee61 78f642ca 7a16af3d 00b12c5a
7f6b5913 077bd5b6 d8474a64 8d55b92b
5dd19e7f b53377f7 6fc28fc4 208b014c
026486dc 3d81d735 5a98beb4 3ca45823
7282ba96 56164f48 5a91bdb4 99cf1fb9
b27bbb95 9423290a 764a6b63 452d9f7a
cc6c93e9 8cf18a6c df79ff84 777188f1
b77d181f dd153c53 18fd36bf 9acb9b00
8e4810d0 43c23a05 531a6f49 1ddbb46a
08edd09f ca7606a8 34cd7793 858cdc5e
b5dbf1f2 fde61c6b be363415 ddc1f8ae
f33c0a2b d4bac5d1 0fe52c11 856aaad3
fca3dce0 5092980c d25005c7 b18ce9cd
6e591b76 0e17d9dd dbe70416 f30f48e5
ce83c611 642b077c 3ec95895 dcccbb81
408bc1f3 f264cb0a 620595a6 36b11742
560a989c 50bbddaf c3e65d1d e81ed61f
13bb5148 05484f8e d45b58ba 250f352a
276d1681 95dc983e a483d717 9eb48cb6
695e1073 b522e313 e29fdec1 0577c8e2
54e5a139 48affe4c 1f40c57b 630ffe77
a9054bbe 194d9c19 0a57523c caa008d9
286f29c9 7f353732 88f2d56e 2004958f
c3e45b3a 8dcb63d7 7b97e72d 96bf3fa6
17eda9e8 c6aa486b 6efa5a33 87c39589
31d5357a 169679df 11edfce6 1c748a8f
3d4a7e73 3470d61e 133c5608 a7da415b
218eb4c4 0e180815 f0a16795 5417ca59
0165d681 9daa28cb 062367ff fbb07c12
edcfdaf6 a14bca10 4e67c39e a024dda4
cb69ff17 cef212d6 e7f0b96a 03229780
0f30f548 54f625da 2519e910 7d689c6c
16e99796 f5b5d56e c57c819c be9904b3
e8f126f5 0ceca91e 2097ee05 9e642505
d2a8d2dd 4a41bc0b b1f05349 d1f6b811
2445bf0c 7a9b4ab4 3ed7c9d2 a31b9fbc
468489da 4d8d91ca a06ea91a a0b77969
3c26660e 1427fd10 d50ff662 98610eb4
a93f2bd3 7fbd4820 9c40cefd fd8e1e60
531d71d4 60aec3c6 cde6cec5 73bc0584
5d2bd977 f9627457 dc753d4b 0cd6061e
2e0b2c0b 55dd434d 925cede4 ad738962
76332e49 68ec4732 ed5ba03a d7aad7dd
e7da704b 24f2c312 176c1363 fa5a1f3b
e6181830 c57a3d65 717056c0 b0703bb7
09ceff8c d6c554e9 2c1a5ffd 1586c141
77830fc8 36e66b74 1b5b9834 79183601
1b123268 d5078e48 6bcac77b 3c3ffb46
d451da72 c52be678 3ff9783b 563316cc
6ddc3216 7eadd3ee f2ad9c6a e906e9ba
47039330 2f432221 7acc8641 c4cebe42
d01d7d89 bf2f6fba da23a913 d62a95af
c2ae6fdb 386ab412 ec6ff97c 0c54a028
5b06e3d8 ed516276 40b7586f 0d77b90a
10b22c11 8f830dcf b000c7f8 cf0a4150
3e90d599 bf9d015a 91e365ab 0a003eb7
82dd4092 117985cb db8fc204 b77345b9
33c9ae3b 5e73308f 1512de41 3b20a1d7
0e65f334 2cc71d92 827830fa 59f77f46
e7ec0c66 f883bc73 83a757ec 73d94a67
e02465f4 f1ae4930 923aea6a 8529645b
54682824 056072bc 4607f273 88dc091e
c8d72c37 c8282e46 a2d77cc8 111923e4
01f10979 fe3f07ec 9ad73dbb 2c697944
63d4e126 cfa26c1d 1caa8dd7 1e81b507
dbac7a20 1f095b06 ac646ccc d1c17d87
1248044b 1359f03c c48046b6 486c921b
f3d2ecb9 a9d73a5a 79aa9036 72aa5c53
5a6d731d cb9a0e64 612aa7e4 cbaec827
5a851b1d 4f1518a0 72123066 48f0ca80
e2b9b790 c7a61512 cdf4e98b 157b63a2
0a5b355e 1e52ce97 5c88df6c b41386de
4e399543 845cef15 51e8b06f 1e7265f9
8d91d7cf 13049d8f dc9286f4 f0e11104
de6c4431 53dcbaae 8451fb16 862e3a0c
6166ead8 055a9aaa ceb705d6 8e82a600
e64dc31e 47adf08d e2780fef 905d7601
8f0cec21 f5a7ed98 5c43db82 99800c3a
e08075e6 c82f882f eedcff53 b3352d43
13f39b31 165ce848 1576d2ed daec0e4b
