60d437aa bfb6e3b1 2df8599f cf63c5b4
e8b39dbf 99f6862a da19da49 f14d2727
f9295728 5d06a992 c933969c 20743c88
989dc296 06cd5988 de3d3df0 ae424c88
7f6b4319 e4f3c81c 6c203b4e fc4f7d54
fdce53a9 ed40d88f 5a575ec5 c06bad12
825824c2 dc7e1948 f207b506 62bbc91a
9e223734 3f219292 219480aa 51694cf8
ecef3c0c 2abe7d83 aef76f9f 1cc915c5
6093375c 314fe415 e47462c5 9797cb91
783a8a85 a7ede9a6 b6759538 64ddd37d
330022b9 df73c1f6 10eb7d08 47c9ba1a
e1f5ca2c 1d7faa6b 2d80d22e 65ffd333
12760ffa deecd505 392c1630 0e944bfc
07fa6065 91363d89 d6768906 c9bec04b
c3838cda 385bb588 041adba8 7e855322
3a550fd0 23f20322 966d6355 8f9c84da
544a9523 81a2c6e5 847e5bb1 ec00f1b5
39819250 28b79f10 f27800db a3aba9d9
55fb8c8f bd3c86ed e33cc760 45dade59
f74b4d6e 6f6d3261 432535f1 86e484c1
43dfa251 5a08cb38 4ea58afc e51fe49c
098712e2 4b9414e9 a5061013 1a15d224
8edba071 f2082c62 ca9e104b 51e2f6e4
3a0ff1aa 0f2c339a 24087a6e c3e7d0df
59996da8 9bbdeb3e d41c7527 34c75440
879815fe 1d2df34d 5387c8aa 05eeda4c
94815a7b 3c08c9e7 b2dc7641 88b6bd95
3d92ea07 95559114 a7991498 763739f1
4f75c37b fde310a9 9fe27fcd 27799dd5
1f9e8f32 b143fb75 993d9ec2 765eb055
8cf2d663 63361184 fa934ab4 c163f99d
a6d6d73f 94364224 27242639 14bd8b40
199023cd 90e10dde 57d3263d 3afb2263
2493af7c 5155f42c c18c645f 36e87404
e1c568c9 5b00d73b 09a7e017 b7492a6e
e20c9466 15385a06 7a47a09b 840ad432
b0a54c1b c28bcb24 e19c8858 1b297a27
ea9562cf 59e1a2aa c7bb1151 1a9956cb
d51abb6f 9b02f54e ae23b7f9 1c1a60f7
ba19b2a2 574091b4 98b717d6 b165295d
58ebfae6 817140f6 26db70ed ac2d9798
44354590 93bea80d 66fcef6b 446f0341
cb3fb2bc 6484750c efea5ac0 a818e94a
2f3f5b6a 7d099e7a 4d98e55c dd3847a5
da498a31 9798d499 ce19aecb ec0ed2df
f2d69ac4 4ddbf82e 1b91112f de8d454a
ce51fdb7 e923b5b3 eef9dcfd 235826b6
99408485 2652048b f867e57c 57082b6b
70b6ce04 9accdcec fc305b33 b2aaafdb
2e854176 19ac001b 184ee27e 499b5a70
ed4063f0 a806b16e 47c6f761 6a04af06
81aa1f1a b45764c6 a9793759 d3b4ba1d
2b0e3e4a 0e48700c 96715e30 0d1e14fa
7fcce4bc 3e75a603 d0143aee 89e75ff1
5d4e93f4 bd0fd769 3b5e0959 24e9cb06
818dc5a2 a89c2ea7 048c2d07 2dc187ed
012584cf aada30c5 e2660d15 00853699
14bf6035 94c488c6 af498712 c14d68ec
d86fc20b 9a325923 6b653873 fd3bf658
0f5e1b3a 936001d1 f0619e76 083f170a
99e99bbc 81fb70d2 543ea59d 4ad88115
23d19be2 81eaae3b bc7856ef 9c27c3dc
e8b62d5b 16ac4424 a87bba8d 704f9c5e
77258603 1f0acdeb 1c830692 fde00e30
d7741515 478bf785 e6e05ec2 ed2cab3f
c750f7cc 50b74952 b88aae89 a0f9dadb
a83affbf 591c9077 d8b19a1b 8c312efc
c3e29bfd 91cb56b6 85dada67 483d692d
7c4bc5e9 d27e38ea 7ef74747 3e415a29
df84ad44 2e29411d c31c3db2 6af93d8d
39c0a6dd 3a509d53 f90fffb2 306d0eb8
5751435f 3b34da95 385cd333 552dda98
ab54a57d 90c4ca14 bb00b6df 9d654992
4c5c29a3 853bb151 d4193dbc a3c51020
d68d8203 87f1b95d 5d981512 b7df677c
33d26d7b d0e6a7f1 c78b8e9b c316c507
638ec72f 99659632 47bc70ae 515f723c
760be351 d42653fa 53ae8316 5c8e769c
931372fe d667e765 35376843 943af412
1dc73d8e fd4ccf9e 164d4424 048e64ef
b855e8de 8c16410d 68a87a36 e07313f6
77ce6421 f45562a1 f25cf0b6 717c90ad
aae6be4b 41d1360b 74bb0ac8 237b7ccc
610d468c 81f27ebd 3ddcee2d 96360258
e152f407 8a0b61b1 c302e234 a6f128a9
a09db424 44cf0d39 c6c7eb53 7fd0f806
eb5e54b3 ea57ac8c 9ece43b2 8c3e1e2f
48f220b4 c59ebece 14361082 26ba9045
3c9ce78e 0487b54c ae6f65f1 1404910b
9626cfb8 516d6613 6db6a598 470088dc
884af044 4907b6f2 66ab1009 d749de2e
45247d1a b9c47dc6 363e7388 3b9688c9
d52e5f99 f266ee20 13411afc 3e03cd1c
5375170f 8bcd3d91 6d3ca783 7a94337a
e609c4e5 14172f0b 804c7357 ca10901b
e565fe6a 64da5c6c 0ce9b2bb 63c9e47a
213498d4 668e87a5 64467ada 64d2effc
39eff2c1 f59ba0a9 d870d304 4aacb116
204bdadf ac090ebd 23cea6bf 4f537d4f
b54a6b19 597f8c3d bd24dd74 6cac051f
ab32fa0d 3a8f5c22 683889b3 7e2946c3
d09843ac d8a4c670 361c4005 01aae878
1e3fb9b8 09b55503 75c9676a 6c904a93
07f86b30 2b9837fa cf84cd0e c563d9a5
2ecc234b d966d9ff e32636eb d5b61ee2
005fa498 5247d2e4 3f11785e 2950b26e
8194cbed 46f09aab a647e9d8 64489001
2c6f3fb0 24b12634 db13b44d 5c3c44e5
8669f448 b66fd8b6 8ce07c09 6309753d
bb6b5027 41655679 d75ddaf1 565dc7e0
beddddc6 eba01218 f2b1b9ef af57c5b3
ef47dcad b36331f5 acef97f3 517f9074
6b4971d3 39a017b1 0ad4e894 7cdc50c7
bdb325a9 5bb28ea3 329c2b85 bfc35f17
351c559a 9c4de509 569e60fe abf0c2f8
5cf8d08a 95619afe 6599f2c6 859f7ecf
b401fd2c ea957866 72c20fe9 f6093660
9ca0963e 55d54b10 d55e1023 da4097b8
9c35590a 025a57a8 2b296465 eda1dad4
1e5e2aac d0834246 866562cc 32f72467
475b6472 b4cfb9bc 0a2b6233 600581df
6fdad88b bc3a1417 bed1fc18 9238c986
7767758b 28f8ad87 53805229 eb1f6ca8
a58289f4 bb09f1f6 0d4af061 df6f7aab
6ad85e25 eeeb6dbc 1a8c8c26 4b7203fd
6b71efb1 8a564d86 008c851a 0e4d9c2c
020a1947 b9e3bd47 0ce21c0b 721e81d9
8876c86a 1f2a90b1 b7fb57a7 47eb5805
494e9ff3 6e07ceed c5d1a20c 1f70ee07
031af329 57171c9d 49e3bbc8 468fd549
5d692deb 3655d3a2 6fb034f7 1f3a8b9b
3f24f956 215d248a 737dde8b 6e36bf1d
f1a68e2e c8c18b7f 01e4c778 0e9275d7
af4bd4a6 3ae5fe7f d66d58c8 c3c523b2
7fc0bd21 21185b14 ef53f824 2d72cb99
69c67019 2abf9421 0f6665b0 1109c087
dd67ddc0 e0e4c0e4 af2a28b1 8f488cb5
3845ac0a 8c4d86b7 8bdde6e1 aae9b3ea
561df0a8 57bfc243 5ce28380 130b6ecb
0baf661f 7f67cc76 3ed3667e a6e69d70
1a04a742 e744d0cd 1a727f42 4d85482a
adc59f00 d7434f0d f1e36d49 5899611c
508d1f20 c5bc31ee e29b42fe 8b20d8d6
b35fa927 5b82d2f5 ef4f01a2 13716b0a
2d53a85d d13bcb76 69f369e9 5f9182b5
82e69ff4 d8a2e7ab 9c67174b 5da79b29
8371defe 664cc198 9bb61a06 d73bd4a5
0ce4bb06 fbd25bc4 00c0345b be676ba8
dc7284d2 f7444291 2132fcab 03c0a4f8
6632d5a3 ff5b5ee7 3c1b2009 975ab949
cdedaa98 ce388644 c542eb54 cb543300
3c3d2084 516e79fd 7a28bbf8 3816ba81
9280d77c de3a65ce 204ddaf3 ed2fd400
d7436edb e042a934 eb74e779 4263389e
890f0506 7bc2742b 7537e11d ae51aa01
1525a451 07917b5a 9d14c535 aaf8383a
90522e21 02677b11 18ad358c 839d7435
fdd6d1b0 72842bb7 66566e7b 3b02143c
352b3fac cb3994ff f1e19b2a 2274cce0
2cda517a 107668c2 d3892639 90990f80
e5b7a43d 9ee344a6 93240e3c cd0cd751
411e5492 bff88036 a56b83fc ae81ec30
c289cb3f 3ee88b59 59134ceb f3bf7adb
bb295f71 4c43e51b e04e38e6 e24d49c3
2389e5c0 10d97498 bfdbbc83 3decdb67
e87a558a 664b4db8 8da7a6d0 b1757f01
46ea75b3 6a7c52fe 072cc0fa 27b79750
ad98feb3 f908130c 9803484e 32856f7d
0870b1bd 72d44d13 f17825ee c225406c
8641fc19 301b5058 4535645a c0c699f6
48ed2257 9dcf2086 04e70bbb c1183fbf
38593122 1a355593 4270d3b1 0b5672d7
580a2e37 30e913c8 f1353432 d0156077
00b88884 3f12382f 77c1ee13 4d22c5a6
d58bd0d8 2f4459d7 c0dc9f59 6e25412b
c1d7a707 4fef530a 8644ab0e 5c8c570f
d7e6a14c e9394eeb 0652e4c1 e5e0a8a4
e020b297 6393a176 528d2141 65c1545e
cd92c0d5 e8a6e775 d42e79d4 05e45e1d
ff16e0c3 db6919bd ecdc763f 4cb6c4c7
add9902c 5251322b 7c54cfff 1d2738aa
29f7e945 5f60474d 431f01bc 56aa869f
507c6944 9a43b687 4ea160fe 2f7a99b8
82317461 b3c88d9f 30b8887d 061f9ab1
fda8aaa0 24b866dc 7ff60661 a668cfa5
f414d2ff f5266b5d 9364fbf4 1e5a474c
39839bbf 16d0008b 7e46aa65 34f56479
e1457b7f 93c17a34 ddcb18dd 250c39ce
3074ac35 5e3e058d c27e3321 1390e6ed
13acb5a1 65cf2e44 387bed00 c69c402d
15869ee7 8f2d365c 77335430 947713e5
114c4581 2e60c9fe 411138e4 8549b680
34be4b13 7eead3d3 2a4b5453 86d12da7
ecc3a645 2eb1d4d6 6128d1f7 7288a8bd
5157c31b cf64d112 4f34ab4f d8bd9c34
5a7f73a6 8c87fbf3 d58d8f09 6a45ad57
20d1e4e7 8b0e97db ae8e8aaf 42663b67
2b4da0c8 6c6dcac7 7d12337d b25aed04
9954545e 8112b5d9 f7215631 3145f1a5
d1248987 97feb626 989279f8 c91ee673
94667ee4 bffa2b17 7c6db0a0 d1debee8
40419034 d1098439 943a10bd 4c6172aa
1dcd85c4 ff744168 7500b47d cdbc4989
7e54d61e 7d5df6e4 29f580a2 b013c6e1
e3fd74b8 4fd5ceb7 847afeb2 92f406c1
ee07318a 00f244d2 80e73e06 1818341f
e5e79d8f 6a8ea6fb 4b71688f e9dbc54a
c5b0f8c5 7aafae22 7a89da21 0a7b7343
de06a323 308e2d00 4f83ff58 0fccee22
77e28c5c 68f9ad02 5016a52a a5351a6f
886341e5 bb3a820b 5ffeb8d4 79354aac
d128f976 3c9aebca 09eff900 012bc4aa
